,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,r,nse,bias,rmse,urmse,pbias,rrmse
187,FI-Hyy,108,0.9521698778833105,0.9801783726426191,1.0092592592592593,1.4050999922536545,,,0.8732470279213871,0.20629166057822798,0.6418322239758661,0.6258223986314635,21.66542603057532,67.40732288262153
188,FI-Ken,108,,,0.5925925925925926,0.9577723085811187,,,1.0,,,,,
189,FI-Let,108,0.6446560800383742,0.8019177369969515,1.011111111111111,1.3390667229356126,0.7646131111179176,0.7646131111179176,0.613088479242467,0.36645503107273714,0.829064003834684,0.7436785815497688,56.845043802413734,128.60562856792302
190,FI-Qvd,96,,,1.0768229166666667,1.2384691568714705,,,1.0,,,,,
191,FI-Sii,108,,,0.7157407407407407,1.0035369261083513,,,1.0,,,,,
192,FI-Var,108,0.42657297138537537,0.5698092864071693,0.5148148148148148,0.8429132631085262,0.8953282630180516,0.8953282630180516,0.8112487757577022,0.08824184342943948,0.3645086065954512,0.3536663701150163,20.686224713876648,85.45046944996103
193,FR-Aur,108,1.3160832585514035,1.1662056038924085,1.5986111111111114,1.2156583219651977,0.7938375102599102,0.7938375102599102,0.734648580175297,0.2825278525597075,0.6233073476222307,0.5555988320072862,21.467323645669836,47.36078386927415
194,FR-Bil,108,1.8055660337202852,1.137010229711086,1.432870370370371,1.0125188826446705,0.6319789928546438,0.6319789928546438,0.3876526754502001,-0.37269566334991505,0.7886459086754736,0.6950254037017137,-20.641486181593308,43.67859684702338
195,FR-FBn,108,,,1.6000000000000003,1.0012142161106463,,,1.0,,,,,
196,FR-Fon,108,,,1.864814814814815,1.7304483139507822,,,1.0,,,,,
197,FR-Gri,84,1.374575517821146,1.2755925712014078,0.9526785714285715,0.9022480112209456,0.6907194936321959,0.6907194936321959,0.12989195950979093,-0.4218969463925746,0.8365885716694493,0.7224149810687417,-30.6928896173946,60.861594057453786
198,FR-Hes,108,1.8126549324517764,1.684172288511928,1.8722222222222225,1.877315807674497,0.8506003997903775,0.8506003997903775,0.8489510287175283,0.05956728977044574,0.7262334260166909,0.72378638219667,3.286190256293055,40.06462636738013
199,FR-Lam,108,1.6517608450909227,1.219899589440834,1.535648148148148,1.38447754790417,0.5223517763091631,0.5223517763091631,0.4901657653816587,-0.11611269694277414,0.9839667553475456,0.9770918161758659,-7.029631274277034,59.57077613698866
